calories,carbs,category,fat,nutrition,protein,rating,reviewCount,source,title,url
168,11.0,"Afternoon tea, Buffet, Canapes, Lunch, Snack, Supper",9.0,"{'@type': 'NutritionInformation', 'calories': '168 calories', 'fatContent': '9 grams fat', 'saturatedFatContent': '5 grams saturated fat', 'carbohydrateContent': '11 grams carbohydrates', 'sugarContent': '3 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '9 grams protein', 'sodiumContent': '1.2 milligram of sodium'}",9.0,0.1,0.1,bbcgoodfood,Mini salt beef bagels,https://www.bbcgoodfood.com/recipes/mini-salt-beef-bagels
288,21.0,"Afternoon tea, Buffet, Lunch, Snack, Supper",17.0,"{'@type': 'NutritionInformation', 'calories': '288 calories', 'fatContent': '17 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '21 grams carbohydrates', 'sugarContent': '2 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '11 grams protein', 'sodiumContent': '1.2 milligram of sodium'}",11.0,0.1,0.1,bbcgoodfood,Lemony crab & cucumber clubs,https://www.bbcgoodfood.com/recipes/lemony-crab-cucumber-clubs
444,37.0,"Afternoon tea, Buffet, Dessert, Dinner, Treat",31.0,"{'@type': 'NutritionInformation', 'calories': '444 calories', 'fatContent': '31 grams fat', 'saturatedFatContent': '16 grams saturated fat', 'carbohydrateContent': '37 grams carbohydrates', 'sugarContent': '28 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '6 grams protein', 'sodiumContent': '0.58 milligram of sodium'}",6.0,0.1,0.1,bbcgoodfood,Jubilee cake,https://www.bbcgoodfood.com/recipes/jubilee-cake
150,17.0,"Afternoon tea, Buffet, Lunch, Snack, Supper",7.0,"{'@type': 'NutritionInformation', 'calories': '150 calories', 'fatContent': '7 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '17 grams carbohydrates', 'sugarContent': '3 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '4 grams protein', 'sodiumContent': '0.6 milligram of sodium'}",4.0,0.1,0.1,bbcgoodfood,Ploughman’s scones,https://www.bbcgoodfood.com/recipes/ploughmans-scones
341,64.0,"Afternoon tea, Dessert",7.0,"{'@type': 'NutritionInformation', 'calories': '341 calories', 'fatContent': '7 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '64 grams carbohydrates', 'sugarContent': '45 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '5 grams protein', 'sodiumContent': '0.3 milligram of sodium'}",5.0,0.1,0.1,bbcgoodfood,"Dark chocolate, orange & ginger bara brith",https://www.bbcgoodfood.com/recipes/dark-chocolate-orange-ginger-bara-brith
167,17.0,"Afternoon tea, Dessert, Treat",10.0,"{'@type': 'NutritionInformation', 'calories': '167 calories', 'fatContent': '10 grams fat', 'saturatedFatContent': '6 grams saturated fat', 'carbohydrateContent': '17 grams carbohydrates', 'sugarContent': '11 grams sugar', 'proteinContent': '2 grams protein', 'sodiumContent': '0.2 milligram of sodium'}",2.0,0.1,0.1,bbcgoodfood,Banana custard eclairs,https://www.bbcgoodfood.com/recipes/banana-custard-eclairs
416,50.0,"Afternoon tea, Treat",22.0,"{'@type': 'NutritionInformation', 'calories': '416 calories', 'fatContent': '22 grams fat', 'saturatedFatContent': '10 grams saturated fat', 'carbohydrateContent': '50 grams carbohydrates', 'sugarContent': '36 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '7 grams protein', 'sodiumContent': '0.54 milligram of sodium'}",7.0,0.1,0.1,bbcgoodfood,Apple & spice tealoaf,https://www.bbcgoodfood.com/recipes/apple-spice-tealoaf
344,59.0,Dessert,10.0,"{'@type': 'NutritionInformation', 'calories': '344 calories', 'fatContent': '10 grams fat', 'saturatedFatContent': '6 grams saturated fat', 'carbohydrateContent': '59 grams carbohydrates', 'sugarContent': '44 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '4 grams protein', 'sodiumContent': '0.4 milligram of sodium'}",4.0,0.1,0.1,bbcgoodfood,Fruit cake,https://www.bbcgoodfood.com/recipes/boiled-fruit-cake
118,16.0,"Afternoon tea, Dessert, Treat",5.0,"{'@type': 'NutritionInformation', 'calories': '118 calories', 'fatContent': '5 grams fat', 'saturatedFatContent': '3 grams saturated fat', 'carbohydrateContent': '16 grams carbohydrates', 'sugarContent': '12 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '2 grams protein', 'sodiumContent': '0.1 milligram of sodium'}",2.0,0.1,0.1,bbcgoodfood,Raspberry & dark chocolate teacakes,https://www.bbcgoodfood.com/recipes/raspberry-dark-chocolate-teacakes
286,44.0,"Afternoon tea, Dessert",10.0,"{'@type': 'NutritionInformation', 'calories': '286 calories', 'fatContent': '10 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '44 grams carbohydrates', 'sugarContent': '32 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '4 grams protein', 'sodiumContent': '0.31 milligram of sodium'}",4.0,0.1,0.1,bbcgoodfood,Vegan courgette cake,https://www.bbcgoodfood.com/recipes/vegan-courgette-cake
